title,url,category,description,datetime,title_len
СБУ підтвердила третю атаку на НПЗ у Пермі: що відомо про наслідки,https://www.rbc.ua/rus/news/sbu-pidtverdila-tretyu-ataku-npz-permi-shcho-1778243013.html,,,15:33,66
"Зеленський відвідав фронт на півдні, де ЗСУ провели успішний контрнаступ",https://www.rbc.ua/rus/news/zelenskiy-vidvidav-front-pivdni-de-zsu-proveli-1778242112.html,,,15:18,72
Дрони над Латвією та Фінляндією: МЗС вказало на важливу деталь і зробило пропозицію,https://www.rbc.ua/rus/news/droni-latvieyu-ta-finlyandieyu-mzs-vkazalo-1778242198.html,,,15:11,83
"У Путіна заявили про готовність до діалогу з Європою, але є нюанс",https://www.rbc.ua/rus/news/putina-zayavili-gotovnist-dialogu-evropoyu-1778240306.html,,,14:44,65
Мединський отримав вирок за антиукраїнський підручник,https://www.rbc.ua/rus/news/medinskiy-otrimav-virok-antiukrayinskiy-pidruchnik-1778238819.html,,,14:29,53
Сі Цзіньпін проігнорує Путіна: хто представлятиме Китай на параді 9 травня,https://www.rbc.ua/rus/news/si-tszinpina-hto-vid-kitayu-priyde-parad-1778239585.html,,,14:27,74
Зеленський і Буданов провели важливу нараду щодо підготовки до зими,https://www.rbc.ua/rus/news/zelenskiy-i-budanov-proveli-vazhlivu-naradu-1778238667.html,,,14:11,67
"Під атаку в Грозному могла потрапити одна з найбільших військових баз РФ і район ФСБ, - медіа",https://www.rbc.ua/rus/news/pid-ataku-groznomu-mogla-potrapiti-odna-naybilshih-1778238270.html,,,14:08,93
Економіка України у 2026 році зростатиме повільніше: НБУ оновив прогноз,https://www.rbc.ua/rus/news/ekonomika-ukrayini-2026-rotsi-zrostatime-1778238117.html,,,14:05,71
Зеленський назвав можливі терміни візиту представників Трампа до Києва,https://www.rbc.ua/rus/news/zelenskiy-nazvav-dedlayn-vizitu-predstavnikiv-1778237472.html,,,13:57,70
"Армія України увійшла до четвірки найсильніших у Європі, - МЗС Фінляндії",https://www.rbc.ua/rus/news/armiya-ukrayini-uviyshla-chetvirki-naysilnishih-1778235976.html,,,13:55,72
Величезна лісова пожежа на прикордонні Чернігівщини повернула в бік РФ,https://www.rbc.ua/rus/news/velichezna-lisova-pozhezha-prikordonni-chernigivshchini-1778235828.html,,,13:40,70
"Українські дрони вперше збили ""Гербери"" з FPV на борту (відео)",https://www.rbc.ua/rus/news/ukrayinski-droni-vpershe-zbili-gerberi-fpv-1778235910.html,,,13:27,62
"Загострення між США та Іраном знову ""підняло"" ціни на нафту",https://www.rbc.ua/rus/news/zagostrennya-mizh-ssha-ta-iranom-znovu-pidnyalo-1778235092.html,,,13:18,59
"Вибух авто у Дніпрі був терактом, виконавців затримали ""по гарячих слідах""",https://www.rbc.ua/rus/news/vibuh-avto-dnipri-buv-teraktom-vikonavtsiv-1778233946.html,,,12:59,74
"Невідомий робив мільярдні ставки на нафту перед заявами Трампа, - Reuters",https://www.rbc.ua/rus/news/nevidomiy-robiv-milyardni-stavki-naftu-pered-1778233076.html,,,12:44,73
